node_number,Orbit_type_I,Orbit_type_II,two_Orbit_type
0,5,4,45
15,5,4,45
18,5,4,45
19,5,1,15
54,14,13,1314
59,1,0,01
64,14,13,1314
65,14,13,1314
66,14,13,1314
67,2,0,02
68,14,13,1314
70,0,14,014
72,14,13,1314
73,1,6,16
74,0,14,014
75,0,14,014
77,14,13,1314
78,14,13,1314
80,14,13,1314
81,0,14,014
127,5,6,56
129,14,13,1314
131,14,13,1314
133,0,14,014
135,14,13,1314
137,14,13,1314
140,0,14,014
142,14,13,1314
144,0,14,014
145,1,0,01
146,2,0,02
147,14,13,1314
149,1,6,16
152,5,2,25
158,14,13,1314
165,1,0,01
166,0,2,02
256,1,0,01
257,0,14,014
259,0,2,02
262,14,13,1314
267,0,5,05
268,4,1,14
269,0,5,05
270,4,1,14
320,4,0,04
326,0,14,014
332,0,14,014
334,0,14,014
335,0,14,014
341,14,13,1314
345,14,13,1314
348,0,14,014
353,1,6,16
355,2,0,02
366,4,1,14
370,1,0,01
374,14,13,1314
377,14,13,1314
379,14,13,1314
384,14,13,1314
388,14,13,1314
389,5,2,25
392,14,13,1314
395,14,13,1314
398,14,13,1314
401,14,13,1314
408,6,5,56
411,0,14,014
593,2,0,02
598,14,13,1314
603,14,13,1314
615,14,13,1314
620,6,5,56
625,4,1,14
629,4,1,14
635,1,0,01
639,0,2,02
645,5,1,15
648,5,2,25
660,4,5,45
663,14,13,1314
665,14,13,1314
671,0,2,02
676,0,2,02
687,1,0,01
691,14,13,1314
705,14,13,1314
711,5,1,15
713,4,0,04
717,5,2,25
719,14,13,1314
721,5,2,25
724,5,4,45
729,4,1,14
732,0,5,05
734,14,13,1314
735,4,1,14
736,14,13,1314
746,14,13,1314
747,14,13,1314
753,14,13,1314
756,14,13,1314
757,0,3,03
759,1,0,01
760,14,13,1314
761,14,13,1314
762,1,0,01
763,14,13,1314
765,14,13,1314
768,14,13,1314
770,14,13,1314
771,14,13,1314
772,14,13,1314
776,14,13,1314
777,0,14,014
778,14,13,1314
780,14,13,1314
783,14,13,1314
786,14,13,1314
788,14,13,1314
789,0,14,014
790,6,5,56
791,14,13,1314
792,6,1,16
793,5,7,57
795,14,13,1314
869,6,1,16
878,14,13,1314
880,14,13,1314
885,14,13,1314
889,14,13,1314
891,0,14,014
893,14,13,1314
896,14,13,1314
900,1,6,16
901,14,13,1314
907,14,13,1314
910,1,6,16
925,2,7,27
942,14,13,1314
974,14,13,1314
977,0,14,014
978,0,14,014
979,14,13,1314
981,14,13,1314
988,14,13,1314
989,14,13,1314
999,0,14,014
1001,0,14,014
1005,14,13,1314
1006,14,13,1314
1008,14,13,1314
1014,14,13,1314
1018,14,13,1314
1019,5,1,15
1020,14,13,1314
1023,0,14,014
1024,4,1,14
1025,14,13,1314
1028,0,14,014
1033,0,14,014
1037,14,13,1314
1056,0,14,014
1062,0,14,014
1063,14,13,1314
1073,14,13,1314
1075,14,13,1314
1080,14,13,1314
1084,14,13,1314
1087,14,13,1314
1088,0,14,014
1089,1,0,01
1090,0,2,02
1091,1,0,01
1092,14,13,1314
1094,14,13,1314
1095,14,13,1314
1096,0,14,014
1098,14,13,1314
1099,14,13,1314
1100,0,14,014
1101,0,14,014
1104,4,5,45
1106,14,13,1314
1107,14,13,1314
1111,4,1,14
1113,14,13,1314
1114,14,13,1314
1116,14,13,1314
1117,14,13,1314
1120,14,13,1314
1123,0,2,02
1126,4,1,14
1134,4,1,14
1138,5,1,15
1182,14,13,1314
1203,4,1,14
1284,14,13,1314
1362,5,1,15
1363,5,2,25
1368,14,13,1314
1373,5,1,15
1375,0,14,014
1378,14,13,1314
1379,4,1,14
1383,0,14,014
1392,0,14,014
1398,14,13,1314
1399,4,1,14
1405,0,14,014
1406,0,14,014
1407,14,13,1314
1408,4,1,14
1414,14,13,1314
1416,4,1,14
1418,0,14,014
1419,0,14,014
1420,0,14,014
1421,14,13,1314
1423,14,13,1314
1425,14,13,1314
1433,14,13,1314
1437,14,13,1314
1450,14,13,1314
1452,14,13,1314
1454,14,13,1314
1461,0,14,014
1472,0,14,014
1502,4,5,45
1546,4,1,14
1556,6,5,56
1558,14,13,1314
1560,1,6,16
1563,14,13,1314
1569,14,13,1314
1571,14,13,1314
1575,14,13,1314
1577,4,1,14
1578,4,1,14
1579,0,5,05
1580,0,5,05
1584,14,13,1314
1587,14,13,1314
1593,14,13,1314
1599,0,2,02
1602,14,13,1314
1609,0,14,014
1610,14,13,1314
1613,0,14,014
1632,5,1,15
1633,0,14,014
1636,14,13,1314
1644,14,13,1314
1651,14,13,1314
1656,1,6,16
1659,4,1,14
1661,14,13,1314
1663,6,1,16
1664,0,14,014
1669,0,14,014
1670,0,14,014
1676,0,14,014
1678,0,14,014
1679,14,13,1314
1681,14,13,1314
1696,1,0,01
1702,14,13,1314
1714,14,13,1314
1715,1,6,16
1717,14,13,1314
1719,14,13,1314
1721,14,13,1314
1724,0,14,014
1725,0,14,014
1726,14,13,1314
1732,14,13,1314
1733,14,13,1314
1734,1,0,01
1736,14,13,1314
1741,14,13,1314
1745,14,13,1314
1750,14,13,1314
1752,14,13,1314
1754,14,13,1314
1761,4,1,14
1763,0,2,02
1768,1,0,01
1769,14,13,1314
1774,14,13,1314
1776,14,13,1314
1777,0,14,014
1780,6,1,16
1781,6,1,16
1782,14,13,1314
1784,14,13,1314
1785,14,13,1314
1787,5,4,45
1788,5,1,15
1790,5,2,25
1791,14,13,1314
1793,14,13,1314
1794,0,14,014
1795,14,13,1314
1913,5,4,45
1917,4,1,14
1921,0,14,014
1923,14,13,1314
1925,14,13,1314
1926,14,13,1314
1927,14,13,1314
1931,14,13,1314
1934,14,13,1314
1938,14,13,1314
1939,14,13,1314
1940,0,14,014
1941,14,13,1314
1943,14,13,1314
1944,1,0,01
1947,14,13,1314
1948,4,0,04
1950,4,1,14
1952,14,13,1314
1953,14,13,1314
1954,14,13,1314
1955,14,13,1314
1956,14,13,1314
1957,14,13,1314
1958,14,13,1314
1960,14,13,1314
1962,14,13,1314
1963,14,13,1314
1965,14,13,1314
1967,14,13,1314
1968,5,1,15
1969,0,14,014
1971,0,14,014
1973,4,0,04
1974,14,13,1314
1976,1,6,16
2003,14,13,1314
2075,14,13,1314
2114,14,13,1314
2120,14,13,1314
2121,1,6,16
2130,14,13,1314
2133,14,13,1314
2138,14,13,1314
2140,14,13,1314
2151,0,14,014
2156,0,3,03
2158,0,3,03
2159,1,0,01
2164,6,10,610
2166,4,1,14
2167,1,6,16
2168,14,13,1314
2169,0,14,014
2172,14,13,1314
2180,14,13,1314
2188,14,13,1314
2191,14,13,1314
2192,14,13,1314
2193,5,1,15
2195,0,5,05
2210,4,1,14
2216,14,13,1314
2218,6,4,46
2222,6,4,46
2223,4,1,14
2227,0,14,014
2229,0,14,014
2231,0,14,014
2233,14,13,1314
2244,14,13,1314
2245,6,4,46
2246,0,14,014
2247,14,13,1314
2248,14,13,1314
2251,6,1,16
2252,14,13,1314
2254,14,13,1314
2264,14,13,1314
2267,14,13,1314
2285,14,13,1314
2294,14,13,1314
2296,4,1,14
2299,14,13,1314
2301,14,13,1314
2302,14,13,1314
2304,14,13,1314
2305,1,6,16
2306,4,1,14
2311,14,13,1314
2313,5,1,15
2316,14,13,1314
2318,0,14,014
2320,0,14,014
2324,14,13,1314
2328,14,13,1314
2329,14,13,1314
2330,14,13,1314
2333,14,13,1314
2335,1,0,01
2338,14,13,1314
2341,14,13,1314
2342,14,13,1314
2344,1,0,01
2345,0,14,014
2346,0,14,014
2349,14,13,1314
2350,14,13,1314
2351,14,13,1314
2352,14,13,1314
2353,0,14,014
2354,14,13,1314
2355,14,13,1314
2356,14,13,1314
2357,14,13,1314
2358,4,1,14
2372,14,13,1314
2373,0,14,014
2382,1,6,16
2384,14,13,1314
2387,4,6,46
2395,4,1,14
2400,4,1,14
2403,14,13,1314
2404,14,13,1314
2409,14,13,1314
2412,0,14,014
2421,14,13,1314
2432,14,13,1314
2445,14,13,1314
2447,0,14,014
2450,1,6,16
